Single-image pleasure ratings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SD per target pleasure for pre-cued one-image trials,,,,,,,,,SD per target pleasure for post-cued one-image trials,,,,,,,,,SD per target pleasure for pre-cued combined pleasure trials,,,,,,,,,SD per target pleasure for post-cued combined pleasure trials,,,,,,,,,Response time,,Average parameter values for LOOCV,,,,,
image 1,image 2,image 3,image 4,image 5,image 6,image 7,image 8,image 9,image 10,image 11,image 12,image 13,image 14,image 15,image 16,image 17,image 18,image 19,image 20,image 21,image 22,image 23,image 24,image 25,image 26,image 27,image 28,image 29,image 30,image 31,image 32,image 33,image 34,image 35,image 36,target = 1,target = 2,target = 3,target = 4,target = 5,target = 6,target = 7,target = 8,target = 9,target = 1,target = 2,target = 3,target = 4,target = 5,target = 6,target = 7,target = 8,target = 9,target = 1,target = 2,target = 3,target = 4,target = 5,target = 6,target = 7,target = 8,target = 9,target = 1,target = 2,target = 3,target = 4,target = 5,target = 6,target = 7,target = 8,target = 9,median,SD,Compressive model (a),Compressive model (b),Expansive model (a),Expansive model (b),Partial compulsory averaging (w),High pleasure attenuation (P_beau)
9,4,9,4,7,5,4,1,2,9,9,2,1,3,2,2,2,5,4,1,1,1,9,9,9,9,9,2,4,1,2,5,9,9,1,6,0.42,1.55,1.41,1.01,1.73,1.15,0.50,NaN,1.66,0.71,1.10,0.50,1.09,1.59,0.96,0.58,NaN,1.98,0.00,0.89,0.93,1.12,1.49,1.40,1.51,2.59,0.33,NaN,0.76,1.54,1.17,1.33,1.16,1.54,1.41,2.00,0.47,0.61,0.44,0.84,-0.31,1.00,0.82,6.93
2,7,9,7,9,7,5,1,5,9,9,2,2,5,4,5,7,5,7,1,1,1,9,9,9,9,9,5,5,1,2,9,9,9,1,5,0.00,0.96,NaN,0.50,1.73,NaN,1.99,NaN,1.64,2.11,0.63,NaN,0.82,1.35,NaN,1.43,NaN,1.29,NaN,0.45,2.18,0.58,2.38,1.91,2.07,1.14,0.50,NaN,0.00,1.89,0.98,1.76,NaN,1.89,0.55,0.41,0.32,0.73,0.00,0.83,-2.76,1.28,0.93,7.44
8,8,7,5,5,4,4,2,3,9,9,3,2,4,4,4,4,6,4,1,1,1,8,9,7,8,7,4,4,1,4,8,7,8,3,5,0.91,1.41,1.44,1.65,2.26,2.58,2.21,1.81,1.53,1.41,0.93,1.31,1.70,2.23,2.38,1.61,2.06,2.15,NaN,0.00,0.98,0.71,1.82,1.89,1.73,0.89,0.00,NaN,NaN,1.04,1.70,2.05,1.69,1.91,0.50,NaN,0.50,1.12,0.23,0.89,-0.35,1.00,0.69,3.50
5,7,9,7,6,9,9,4,4,6,6,3,2,6,6,5,8,8,5,4,6,7,9,9,8,9,9,6,7,6,8,7,9,9,6,6,NaN,0.82,1.73,1.62,1.08,1.27,1.37,1.15,1.40,NaN,1.50,1.50,1.88,1.03,NaN,1.76,1.30,1.13,NaN,NaN,NaN,2.31,0.74,1.66,1.24,1.47,1.72,NaN,NaN,NaN,1.53,1.52,1.75,1.44,0.82,1.51,0.90,1.18,0.00,0.91,-0.64,1.00,0.83,6.87
9,6,9,6,1,9,6,1,6,8,9,1,1,5,5,6,6,5,6,1,1,1,9,9,9,9,9,6,9,1,1,8,9,9,1,6,1.68,NaN,NaN,NaN,1.87,1.25,NaN,1.28,0.74,1.45,NaN,NaN,NaN,1.90,1.57,NaN,1.69,1.36,0.00,NaN,1.89,NaN,2.94,0.41,1.97,0.86,1.13,0.41,NaN,1.87,NaN,2.87,1.17,2.07,0.91,0.88,0.58,1.59,0.00,0.89,-0.71,1.00,0.89,6.87
8,7,8,7,7,5,3,1,3,9,9,5,1,5,7,5,5,1,5,1,1,1,8,8,8,8,9,3,5,1,1,7,7,9,1,3,1.50,NaN,1.42,NaN,1.69,NaN,2.10,1.81,1.77,1.56,NaN,1.97,NaN,1.90,NaN,1.98,1.49,0.73,0.50,0.82,1.09,2.73,2.39,2.62,2.00,1.96,0.50,2.08,1.34,2.00,1.64,2.67,2.52,0.95,1.00,0.58,0.57,0.81,0.00,0.96,-1.16,1.17,0.86,8.32
7,5,6,5,7,5,5,2,5,8,8,2,3,5,4,5,5,7,5,2,2,2,6,6,7,7,6,5,5,3,2,5,5,6,1,5,0.82,1.29,0.92,0.58,0.62,0.69,0.68,1.13,NaN,NaN,NaN,0.74,0.50,0.80,1.02,0.75,1.20,NaN,NaN,1.53,0.55,NaN,1.39,NaN,1.09,NaN,NaN,NaN,0.71,0.00,1.11,1.46,0.80,1.07,NaN,NaN,0.95,1.64,0.00,0.91,-0.93,1.09,0.95,6.46
8,6,9,3,4,9,2,1,3,9,9,4,3,8,3,4,4,5,5,2,2,2,9,9,9,9,9,4,6,1,2,9,9,9,1,4,0.39,0.69,1.48,1.58,1.41,1.64,NaN,1.51,0.42,0.80,1.29,1.10,1.67,1.73,1.85,NaN,0.64,1.00,NaN,0.38,0.53,0.93,1.21,1.77,1.01,0.71,0.00,NaN,0.45,1.55,1.47,1.33,1.63,1.31,1.73,0.00,0.83,2.15,0.29,1.00,-0.43,1.13,0.88,8.04
6,6,7,5,8,6,5,3,4,9,9,4,3,6,6,5,6,6,4,4,1,1,7,7,7,6,7,6,5,3,7,6,6,7,4,7,0.64,NaN,0.83,0.99,0.50,0.80,0.84,0.50,1.16,1.41,NaN,0.89,0.83,0.54,0.66,0.86,0.50,0.53,NaN,NaN,1.00,1.10,NaN,0.90,0.64,0.71,0.71,NaN,NaN,2.71,1.51,1.05,0.86,0.90,1.30,NaN,0.71,4.32,2.85,0.48,-0.01,1.00,0.83,6.16
5,8,9,3,4,8,3,1,2,7,7,2,1,3,2,5,3,3,2,1,1,1,9,9,9,9,9,2,3,1,4,5,9,9,1,7,0.26,1.26,1.20,1.81,2.42,NaN,2.37,1.77,2.05,0.31,0.95,1.14,1.55,1.76,NaN,2.49,2.33,2.31,NaN,0.39,0.70,1.29,0.90,1.27,0.84,0.71,0.38,NaN,0.44,0.67,1.28,1.55,0.99,0.58,NaN,0.41,0.72,0.96,0.00,0.83,-1.84,1.17,0.71,3.76
9,6,9,1,3,9,1,1,2,9,9,1,1,1,3,2,4,8,2,1,1,1,9,9,9,9,9,2,3,1,1,7,9,7,1,9,NaN,2.74,2.34,1.50,NaN,3.46,1.41,0.58,NaN,1.60,NaN,2.35,1.41,NaN,3.32,2.43,2.63,NaN,0.00,1.69,1.53,4.12,NaN,3.15,2.12,0.50,2.60,0.00,NaN,2.83,2.40,3.10,2.66,1.41,2.00,NaN,0.28,2.03,0.80,0.82,-0.07,1.00,0.71,5.61
6,4,8,6,1,2,7,3,6,9,6,1,1,2,4,1,6,9,2,3,1,1,9,9,9,6,4,4,5,2,1,2,9,9,1,NaN,NaN,1.79,1.25,NaN,NaN,2.28,3.70,3.37,NaN,NaN,2.02,0.92,2.30,1.63,2.32,2.50,3.86,NaN,0.75,2.38,2.34,1.56,NaN,2.73,2.88,2.81,0.71,3.79,1.11,0.65,2.07,2.54,1.75,NaN,3.77,3.05,0.55,2.28,0.99,0.53,-1.12,1.00,0.62,3.38
5,5,8,7,6,8,5,3,4,7,7,4,4,5,5,5,7,4,4,3,1,1,9,9,9,5,9,7,5,3,3,6,8,9,3,7,0.00,NaN,1.12,0.97,1.32,0.83,NaN,1.34,NaN,0.00,NaN,0.72,0.79,1.43,1.49,0.56,0.85,1.27,NaN,NaN,2.51,0.92,1.50,NaN,1.07,0.71,0.00,NaN,NaN,0.45,1.46,0.98,1.22,1.18,0.52,1.73,0.75,4.39,0.00,0.95,-0.28,1.00,0.93,6.76
7,6,7,4,4,5,3,1,3,6,5,4,3,3,3,3,5,5,4,1,1,1,7,8,6,7,7,4,6,1,4,5,6,7,2,6,0.22,0.50,1.14,1.43,1.32,1.60,1.32,0.82,NaN,1.57,1.00,0.88,1.30,1.50,1.01,0.59,1.41,NaN,0.00,0.96,1.30,1.59,0.99,0.99,1.15,NaN,NaN,2.89,1.10,1.60,1.55,NaN,1.08,1.83,NaN,NaN,0.18,3.60,0.62,0.91,0.00,1.03,0.91,6.54
7,6,8,5,6,7,5,1,5,8,6,3,4,6,1,6,5,5,1,1,1,1,8,8,7,7,8,1,1,1,1,7,8,8,1,4,1.45,NaN,1.71,1.55,1.50,1.64,1.66,1.20,NaN,2.05,NaN,NaN,1.69,1.56,1.93,1.50,1.51,NaN,1.51,1.41,0.89,2.36,2.37,1.80,2.51,0.69,NaN,1.14,NaN,1.87,2.77,2.39,1.38,1.32,0.41,NaN,0.80,1.63,0.39,0.94,0.00,1.01,0.82,6.02
