Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
27,9,3,3.23641304347826,6.56551724137931,1,4,29,27,2.23529411764706,6.11881188118812,8,1,0.1082402,29,5
10,9,1,6.49038461538461,5.19565217391304,4,3,33,10,6.12037037037037,5.85294117647059,9,1,0.06478292,33,9
19,7,3,4.44230769230769,4.45714285714286,2,2,36,19,4.89814814814815,4.66666666666667,7,1,0.2787949,36,5
31,2,3,5.17857142857143,3.25,3,1,5,31,5.45098039215686,2.90196078431373,4,1,1.879031,5,9
15,4,3,5.18620689655172,3.26896551724138,3,1,18,15,5.2037037037037,2.88235294117647,4,1,1.485939,18,5
16,5,3,3.25,3.24728260869565,1,1,4,16,3.55882352941176,4.22222222222222,2,1,2.176522,4,7
6,7,3,6.82758620689655,5.19285714285714,4,3,24,6,6.31372549019608,4.83333333333333,7,1,1.051384,24,9
4,7,2,3.25,3.25,1,1,4,31,3.55882352941176,2.90196078431373,1,1,0.3612266,31,2
12,2,2,1.82068965517241,6.62228260869565,0,4,12,25,2.13725490196078,6.24752475247525,7,1,0.06372374,25,9
22,1,2,1,1.51724137931034,0,0,22,35,1.25490196078431,1.40196078431373,1,1,1.460565,35,1
14,5,2,4.46206896551724,1.58423913043478,2,0,14,13,4.21782178217822,2.00980392156863,1,1,0.8597489,13,2
26,9,1,5.17857142857143,6.58967391304348,3,4,17,26,4.98039215686275,6.41176470588235,7,1,0.2281275,17,7
3,9,2,6.49728260869565,3.24728260869565,4,1,3,16,6.32352941176471,4.22222222222222,4,1,2.830706,16,5
19,7,1,1.82068965517241,4.45714285714286,0,2,30,19,1.67326732673267,4.66666666666667,1,1,3.111384,30,1
17,7,2,5.17857142857143,3.26896551724138,3,1,17,15,4.98039215686275,2.88235294117647,3,1,1.490636,15,4
10,9,3,1.82068965517241,5.19565217391304,0,3,30,10,1.67326732673267,5.85294117647059,4,1,0.4507899,30,1
9,5,1,4.44230769230769,3.25271739130435,2,1,36,9,4.89814814814815,3.54455445544554,5,1,1.340284,36,5
34,9,3,5.2,6.50961538461539,3,4,11,34,5.94059405940594,6.1078431372549,9,1,0.01223511,11,9
6,7,1,3.24184782608696,5.19285714285714,1,3,28,6,4.03703703703704,4.83333333333333,5,1,0.2499853,28,5
35,1,1,1.45714285714286,1.51724137931034,0,0,20,35,1.97058823529412,1.40196078431373,1,1,0.9172755,20,1
1,2,1,6.64423076923077,5.19310344827586,4,3,23,1,6.37623762376238,5.33333333333333,7,1,0.153992,23,9
27,9,1,6.82758620689655,6.56551724137931,4,4,24,27,6.31372549019608,6.11881188118812,9,1,1.993251,24,9
1,2,3,1,5.19310344827586,0,3,22,1,1.25490196078431,5.33333333333333,1,1,1.185285,22,1
16,5,1,5.17857142857143,3.24728260869565,3,1,5,16,5.45098039215686,4.22222222222222,9,1,0.317242,5,9
20,1,2,1.45714285714286,5.19310344827586,0,3,20,1,1.97058823529412,5.33333333333333,2,1,0.6512464,1,2
30,1,2,1.82068965517241,3.25271739130435,0,1,30,9,1.67326732673267,3.54455445544554,5,1,0.03508675,9,5
15,4,1,4.46206896551724,3.26896551724138,2,1,14,15,4.21782178217822,2.88235294117647,5,1,1.521074,14,5
23,9,2,6.64423076923077,4.45,4,2,23,2,6.37623762376238,4.75247524752475,7,1,0.2354677,2,7
21,1,1,3.25,1.44285714285714,1,0,4,21,3.55882352941176,1.3921568627451,5,1,1.696753,4,7
34,9,1,1.82068965517241,6.50961538461539,0,4,12,34,2.13725490196078,6.1078431372549,2,1,0.1243828,12,2
29,5,2,3.23641304347826,5.19285714285714,1,3,29,6,2.23529411764706,4.83333333333333,8,1,0.4047902,6,7
25,9,3,3.26206896551724,6.62228260869565,1,4,7,25,4.05882352941176,6.24752475247525,9,1,0.1316642,7,5
21,1,3,6.49728260869565,1.44285714285714,4,0,3,21,6.32352941176471,1.3921568627451,3,1,1.884727,3,9
9,5,3,6.49038461538461,3.25271739130435,4,1,33,9,6.12037037037037,3.54455445544554,9,1,0.08716266,33,9
13,2,3,5.17857142857143,1.58423913043478,3,0,17,13,4.98039215686275,2.00980392156863,3,1,0.7754729,17,7
8,1,3,1.82068965517241,1.73097826086957,0,0,12,8,2.13725490196078,1.1980198019802,1,1,0.5379226,12,2
35,1,3,6.64423076923077,1.51724137931034,4,0,23,35,6.37623762376238,1.40196078431373,3,1,0.01248435,23,9
11,9,2,5.2,1.73097826086957,3,0,11,8,5.94059405940594,1.1980198019802,1,1,0.2500519,8,1
26,9,3,4.46206896551724,6.58967391304348,2,4,14,26,4.21782178217822,6.41176470588235,7,1,1.670496,14,5
31,2,1,6.49728260869565,3.25,4,1,3,31,6.32352941176471,2.90196078431373,9,1,1.112715,3,9
25,9,1,5.2,6.62228260869565,3,4,11,25,5.94059405940594,6.24752475247525,9,1,0.4278579,11,9
2,7,3,1.45714285714286,4.45,0,2,20,2,1.97058823529412,4.75247524752475,1,1,2.685944,20,1
32,9,3,3.24184782608696,5.1929347826087,1,3,28,32,4.03703703703704,4.88235294117647,8,1,0.6201453,28,5
2,7,1,1,4.45,0,2,22,2,1.25490196078431,4.75247524752475,1,1,0.05738485,22,1
24,9,2,6.82758620689655,5.1929347826087,4,3,24,32,6.31372549019608,4.88235294117647,9,1,0.6512813,32,9
33,9,2,6.49038461538461,4.45714285714286,4,2,33,19,6.12037037037037,4.66666666666667,9,1,0.5015323,19,7
8,1,1,3.26206896551724,1.73097826086957,1,0,7,8,4.05882352941176,1.1980198019802,6,1,2.313941,7,5
13,2,1,5.18620689655172,1.58423913043478,3,0,18,13,5.2037037037037,2.00980392156863,5,1,0.2419163,18,5
28,5,2,3.24184782608696,6.56551724137931,1,4,28,27,4.03703703703704,6.11881188118812,9,1,0.5232798,27,9
7,5,2,3.26206896551724,6.50961538461539,1,4,7,34,4.05882352941176,6.1078431372549,9,1,1.206472,34,9
36,5,2,4.44230769230769,5.19565217391304,2,3,36,10,4.89814814814815,5.85294117647059,9,1,0.1462626,10,9
18,5,2,5.18620689655172,6.58967391304348,3,4,18,26,5.2037037037037,6.41176470588235,6,1,0.5835471,26,9
32,9,1,3.23641304347826,5.1929347826087,1,3,29,32,2.23529411764706,4.88235294117647,4,1,0.5009124,29,5
5,9,2,5.17857142857143,1.44285714285714,3,0,5,21,5.45098039215686,1.3921568627451,1,1,0.2425059,21,1
19,7,3,4.44230769230769,4.45714285714286,2,2,36,19,4.89814814814815,4.66666666666667,5,2,0.279417,36,5
2,7,3,6.49728260869565,4.45,4,2,3,2,6.32352941176471,4.75247524752475,8,2,1.381999,3,9
34,9,1,3.23641304347826,6.50961538461539,1,4,29,34,2.23529411764706,6.1078431372549,3,2,1.044169,29,5
26,9,1,5.2,6.58967391304348,3,4,11,26,5.94059405940594,6.41176470588235,9,2,0.09491379,11,9
2,7,1,3.25,4.45,1,2,4,2,3.55882352941176,4.75247524752475,6,2,1.313967,4,7
1,2,1,5.17857142857143,5.19310344827586,3,3,5,1,5.45098039215686,5.33333333333333,9,2,1.043556,5,9
6,7,1,1,5.19285714285714,0,3,22,6,1.25490196078431,4.83333333333333,1,2,2.390515,22,1
35,1,1,6.49728260869565,1.51724137931034,4,0,3,35,6.32352941176471,1.40196078431373,9,2,1.702066,3,9
15,4,3,1.82068965517241,3.26896551724138,0,1,12,15,2.13725490196078,2.88235294117647,1,2,1.453771,12,2
17,7,2,5.17857142857143,3.25,3,1,17,31,4.98039215686275,2.90196078431373,1,2,0.5782971,31,2
23,9,2,6.64423076923077,5.19285714285714,4,3,23,6,6.37623762376238,4.83333333333333,8,2,0.04092171,6,7
11,9,2,5.2,3.26896551724138,3,1,11,15,5.94059405940594,2.88235294117647,3,2,0.4889048,15,4
19,7,1,1.82068965517241,4.45714285714286,0,2,30,19,1.67326732673267,4.66666666666667,1,2,0.4884651,30,1
25,9,1,3.24184782608696,6.62228260869565,1,4,28,25,4.03703703703704,6.24752475247525,5,2,0.9847313,28,5
31,2,3,5.18620689655172,3.25,3,1,18,31,5.2037037037037,2.90196078431373,2,2,0.1532451,18,5
27,9,1,1.45714285714286,6.56551724137931,0,4,20,27,1.97058823529412,6.11881188118812,1,2,0.2954542,20,1
5,9,2,5.17857142857143,4.45,3,2,5,2,5.45098039215686,4.75247524752475,7,2,0.9342879,2,7
34,9,3,3.24184782608696,6.50961538461539,1,4,28,34,4.03703703703704,6.1078431372549,9,2,1.292941,28,5
3,9,2,6.49728260869565,5.19310344827586,4,3,3,1,6.32352941176471,5.33333333333333,2,2,0.1606099,1,2
20,1,2,1.45714285714286,5.1929347826087,0,3,20,32,1.97058823529412,4.88235294117647,6,2,0.1380389,32,9
16,5,1,5.18620689655172,3.24728260869565,3,1,18,16,5.2037037037037,4.22222222222222,5,2,0.1314496,18,5
21,1,1,5.17857142857143,1.44285714285714,3,0,17,21,4.98039215686275,1.3921568627451,7,2,0.6297867,17,7
7,5,2,3.26206896551724,1.58423913043478,1,0,7,13,4.05882352941176,2.00980392156863,1,2,0.06389631,13,2
28,5,2,3.24184782608696,1.73097826086957,1,0,28,8,4.03703703703704,1.1980198019802,1,2,0.2729778,8,1
29,5,2,3.23641304347826,6.62228260869565,1,4,29,25,2.23529411764706,6.24752475247525,3,2,1.855256,25,9
9,5,3,6.49038461538461,3.25271739130435,4,1,33,9,6.12037037037037,3.54455445544554,7,2,2.866519,33,9
1,2,3,3.25,5.19310344827586,1,3,4,1,3.55882352941176,5.33333333333333,2,2,0.02677871,4,7
14,5,2,4.46206896551724,3.24728260869565,2,1,14,16,4.21782178217822,4.22222222222222,5,2,0.2774096,16,5
18,5,2,5.18620689655172,1.44285714285714,3,0,18,21,5.2037037037037,1.3921568627451,1,2,0.3005766,21,1
13,2,3,5.2,1.58423913043478,3,0,11,13,5.94059405940594,2.00980392156863,3,2,0.8932541,11,9
10,9,3,1.82068965517241,5.19565217391304,0,3,30,10,1.67326732673267,5.85294117647059,2,2,0.4700513,30,1
32,9,1,6.64423076923077,5.1929347826087,4,3,23,32,6.37623762376238,4.88235294117647,9,2,0.5596779,23,9
26,9,3,3.26206896551724,6.58967391304348,1,4,7,26,4.05882352941176,6.41176470588235,8,2,1.182809,7,5
